NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Demar Derozan	SF	36	'+125	H	CHI	LAL	30th	blk	0.5	0.5	0.59 - 0.41	0.53 - 0.47	43%	33%	40%	0,1,0,1,0,0,0,2,0,0	23%	'+130	-160
Karl Anthony Towns	C	33	'+165	A	MIN	PHX	9th	blk	0.5	0.6	0.58 - 0.64	0.73 - 0.5	43%	47%	20%	0,0,0,0,2,2,1,0,0,1	65%	-115	-115
Walker Kessler	C	22	'+140	A	UTAH	SA	21st	blk	2.5	2.4	2.76 - 2.03	1.89 - 2.83	42%	73%	60%	7,1,2,3,5,3,1,3,3,5	0%	-105	-125
Lebron James	SF	36	-145	A	LAL	CHI	12th	blk	0.5	0.5	0.58 - 0.5	0.42 - 0.67	42%	40%	40%	0,1,0,1,0,0,0,0,0,0	65%	'+130	-160
Rudy Gobert	C	30	'+165	A	MIN	PHX	9th	blk	1.5	1.4	1.35 - 1.45	1.36 - 1.45	42%	53%	20%	2,1,1,1,1,5,0,3,1,1	56%	'+155	-190
Nicolas Batum	PF	21	-120	A	LAC	MEM	21st	blk	0.5	0.6	0.6 - 0.53	0.79 - 0.37	42%	7%	0%	0,0,0,0,0,0,0,0,0,0	46%	'+140	-175
Royce Oneale	PF	31	-580	H	BKN	HOU	28th	blk	0.5	0.7	0.81 - 0.48	0.58 - 0.74	41%	33%	40%	2,0,2,0,0,0,0,0,0,1	31%	'+120	-150
Keegan Murray	SF	29	-1050	A	SAC	POR	1st	blk	0.5	0.5	0.41 - 0.66	0.5 - 0.51	41%	33%	20%	0,0,0,0,1,1,0,1,0,1	0%	'+160	-195
Nikola Vucevic	C	33	'+125	H	CHI	LAL	19th	blk	0.5	0.7	0.92 - 0.59	0.55 - 0.95	41%	20%	0%	0,0,0,0,0,1,3,0,0,0	55%	'+105	-135
Isaiah Livers	PF	22	'+360	A	DET	OKC	22nd	blk	0.5	0.5	0.6 - 0.5	0.48 - 0.56	40%	33%	20%	0,0,0,2,0,1,0,0,0,1	0%	'+115	-145
Jalen Williams	F	30	-450	H	OKC	DET	29th	blk	0.5	0.5	0.53 - 0.44	0.44 - 0.53	40%	27%	20%	0,0,0,0,1,1,0,0,0,0	0%	-115	-115
Kawhi Leonard	SF	33	-120	A	LAC	MEM	27th	blk	0.5	0.5	0.47 - 0.59	0.62 - 0.42	40%	40%	20%	1,0,0,0,0,0,0,0,0,2	33%	'+125	-155
Kris Dunn	G	23	'+140	A	UTAH	SA	15th	blk	0.5	0.4	0.67 - 0.22	0.57 - 0.25	40%	40%	20%	0,0,0,0,1,0,0,1,1,0	0%	'+150	-185
Dorian Finney Smith	PF	30	-580	H	BKN	HOU	28th	blk	0.5	0.5	0.37 - 0.59	0.45 - 0.53	39%	47%	40%	1,0,2,0,0,0,0,1,1,0	39%	'+130	-160
Tari Eason	F	21	'+440	A	HOU	BKN	1st	blk	0.5	0.6	0.72 - 0.5	0.39 - 0.71	39%	40%	0%	0,0,0,0,0,1,1,0,1,0	0%	'+140	-175
Josh Giddey	SG	31	-450	H	OKC	DET	18th	blk	0.5	0.4	0.47 - 0.41	0.54 - 0.32	38%	27%	60%	1,2,1,0,0,0,0,0,0,0	29%	'+170	-210
Luka Doncic	PG	36	'+150	A	DAL	PHI	14th	blk	0.5	0.5	0.66 - 0.34	0.52 - 0.5	38%	33%	40%	0,2,1,0,0,1,0,0,1,0	39%	'+170	-210
Aaron Nesmith	SF	24	'+470	H	IND	MIL	11th	blk	0.5	0.4	0.61 - 0.33	0.26 - 0.64	37%	53%	60%	1,1,0,0,1,0,1,1,0,1	9%	'+170	-210
Quentin Grimes	SG	29	-180	H	NY	MIA	13th	blk	0.5	0.4	0.51 - 0.25	0.44 - 0.36	37%	40%	20%	0,0,0,0,1,1,1,0,1,0	0%	'+200	-250
James Wiseman	C	18	'+360	A	DET	OKC	28th	blk	0.5	0.6	0.4 - 0.64	0.58 - 0.58	37%	53%	20%	0,1,0,0,0,1,3,1,1,2	0%	-160	'+130
Xavier Tillman	F	18	'+100	H	MEM	LAC	8th	blk	0.5	0.4	0.51 - 0.32	0.56 - 0.35	36%	40%	40%	0,2,0,0,1,0,0,0,1,1	24%	'+125	-155
Desmond Bane	SG	31	'+100	H	MEM	LAC	9th	blk	0.5	0.4	0.31 - 0.5	0.38 - 0.37	36%	33%	20%	0,0,1,0,0,0,1,0,0,0	39%	'+190	-235
Domantas Sabonis	PF	34	-1050	A	SAC	POR	18th	blk	0.5	0.5	0.61 - 0.31	0.6 - 0.39	36%	47%	0%	0,0,0,0,0,1,4,1,0,0	35%	'+120	-150
Kelly Olynyk	PF	28	'+140	A	UTAH	SA	23rd	blk	0.5	0.5	0.64 - 0.46	0.62 - 0.45	35%	33%	0%	0,0,0,0,0,0,1,0,1,0	41%	'+125	-155
Russell Westbrook	PG	28	-120	A	LAC	MEM	18th	blk	0.5	0.4	0.34 - 0.49	0.4 - 0.43	34%	27%	40%	0,0,1,1,0,0,0,0,1,0	25%	'+205	-255
Nassir Little	SF	17	'+700	H	POR	SAC	9th	blk	0.5	0.4	0.45 - 0.3	0.29 - 0.43	33%	47%	40%	0,0,1,1,0,0,0,1,0,1	50%	'+120	-150
Matisse Thybulle	SG	16	'+700	H	POR	SAC	7th	blk	0.5	0.4	0.38 - 0.52	0.38 - 0.49	32%	47%	40%	1,0,0,1,0,0,1,0,1,0	59%	'+100	-130
Jrue Holiday	PG	32	-625	A	MIL	IND	26th	blk	0.5	0.4	0.37 - 0.44	0.37 - 0.41	31%	47%	40%	0,0,0,1,1,1,1,1,1,0	38%	'+205	-255
Eric Gordon	SG	29	-120	A	LAC	MEM	12th	blk	0.5	0.4	0.33 - 0.4	0.33 - 0.41	31%	33%	20%	0,0,0,0,1,1,0,0,1,0	26%	'+255	-325
Trey Lyles	PF	16	-1050	A	SAC	POR	18th	blk	0.5	0.4	0.5 - 0.3	0.33 - 0.5	31%	27%	20%	0,0,0,1,0,0,0,0,0,0	20%	'+225	-285
Talen Horton Tucker	SG	19	'+140	A	UTAH	SA	15th	blk	0.5	0.5	0.28 - 0.62	0.55 - 0.36	30%	33%	20%	0,1,0,0,0,0,0,0,0,1	35%	-105	-125
Devin Booker	SG	34	-195	H	PHX	MIN	6th	blk	0.5	0.4	0.48 - 0.21	0.21 - 0.54	29%	33%	40%	1,1,0,0,0,0,0,0,0,1	28%	'+185	-230
Killian Hayes	PG	27	'+360	A	DET	OKC	22nd	blk	0.5	0.3	0.2 - 0.39	0.33 - 0.36	29%	27%	20%	0,0,0,0,2,0,0,1,0,0	42%	'+235	-300
Cameron Johnson	SF	27	-580	H	BKN	HOU	28th	blk	0.5	0.3	0.3 - 0.38	0.19 - 0.45	28%	33%	40%	1,0,0,0,1,1,0,0,0,0	20%	'+170	-210
Chris Paul	PG	31	-195	H	PHX	MIN	1st	blk	0.5	0.4	0.43 - 0.35	0.57 - 0.19	28%	13%	40%	2,0,0,0,1,0,0,0,0,0	22%	'+320	-425
Kevin Porter Jr	SG	34	'+440	A	HOU	BKN	27th	blk	0.5	0.3	0.47 - 0.26	0.31 - 0.32	28%	7%	20%	1,0,0,0,0,0,0,0,0,0	33%	'+330	-440
Luguentz Dort	G	30	-450	H	OKC	DET	18th	blk	0.5	0.3	0.35 - 0.29	0.35 - 0.29	28%	33%	20%	0,0,2,0,0,0,1,0,2,0	26%	'+225	-285
Deaaron Fox	PG	33	-1050	A	SAC	POR	12th	blk	0.5	0.3	0.29 - 0.38	0.27 - 0.38	27%	27%	60%	1,1,0,0,1,0,0,1,0,0	28%	'+220	-280
Shaedon Sharpe	SG	21	'+700	H	POR	SAC	7th	blk	0.5	0.3	0.29 - 0.28	0.19 - 0.37	27%	40%	40%	0,0,1,0,1,0,1,0,0,0	0%	'+160	-195
Drew Eubanks	PF	19	'+700	H	POR	SAC	6th	blk	1.5	1.2	1.1 - 1.26	0.91 - 1.45	27%	33%	20%	1,6,1,0,1,2,0,0,2,0	20%	'+190	-235
Kenyon Martin Jr	F	27	'+440	A	HOU	BKN	1st	blk	0.5	0.4	0.39 - 0.36	0.55 - 0.18	25%	13%	40%	0,0,1,2,0,0,0,0,0,0	39%	'+165	-205
Ja Morant	PG	32	'+100	H	MEM	LAC	17th	blk	0.5	0.3	0.32 - 0.16	0.21 - 0.32	25%	27%	40%	0,1,1,0,0,0,0,0,0,0	30%	'+170	-210
Sandro Mamukelashvili	PF	21	-165	H	SA	UTAH	24th	blk	0.5	0.3	0.33 - 0.33	0.4 - 0.29	25%	25%	40%	0,0,2,0,1,0,0,0,1,0	0%	'+170	-210
Malik Monk	SG	22	-1050	A	SAC	POR	14th	blk	0.5	0.3	0.23 - 0.32	0.17 - 0.35	25%	40%	40%	0,1,0,1,0,1,0,1,0,1	32%	'+280	-360
Jimmy Butler	SF	33	'+155	A	MIA	NY	25th	blk	0.5	0.3	0.56 - 0.11	0.32 - 0.38	25%	27%	20%	0,0,0,0,1,2,0,1,1,0	39%	'+195	-240
Kevin Love	PF	21	'+155	A	MIA	NY	3rd	blk	0.5	0.2	0.14 - 0.33	0.43 - 0.11	25%	20%	20%	1,0,0,0,0,0,0,0,1,0	0%	'+310	-410
Jaylin Williams	F	18	-450	H	OKC	DET	29th	blk	0.5	0.3	0.29 - 0.26	0.24 - 0.32	25%	40%	20%	0,0,1,0,0,1,0,0,1,1	0%	'+160	-195
Kevin Huerter	SG	29	-1050	A	SAC	POR	14th	blk	0.5	0.3	0.32 - 0.25	0.39 - 0.19	25%	13%	20%	0,0,1,0,0,0,0,0,1,0	29%	'+220	-280
Spencer Dinwiddie	PG	34	-580	H	BKN	HOU	23rd	blk	0.5	0.3	0.36 - 0.24	0.33 - 0.27	25%	33%	0%	0,0,0,0,0,1,0,1,0,1	21%	'+195	-240
Jalen Green	SG	34	'+440	A	HOU	BKN	27th	blk	0.5	0.3	0.25 - 0.26	0.35 - 0.17	24%	33%	20%	0,0,0,0,1,0,0,0,0,0	25%	'+290	-380
Zach Lavine	SG	36	'+125	H	CHI	LAL	21st	blk	0.5	0.2	0.34 - 0.14	0.24 - 0.24	23%	40%	40%	0,0,1,0,1,1,0,0,0,0	32%	'+220	-280
Keita Bates Diop	SF	21	-165	H	SA	UTAH	20th	blk	0.5	0.3	0.14 - 0.31	0.4 - 0.14	22%	27%	0%	0,0,0,0,0,0,0,0,0,1	19%	'+170	-210
Jordan Nwora	SF	18	'+470	H	IND	MIL	11th	blk	0.5	0.2	0.18 - 0.27	0.26 - 0.17	21%	33%	40%	0,1,0,0,1,0,1,0,0,1	17%	'+220	-280
Julius Randle	PF	35	-180	H	NY	MIA	11th	blk	0.5	0.3	0.35 - 0.18	0.26 - 0.29	21%	13%	20%	0,2,0,0,0,0,0,0,0,0	37%	'+270	-350
Tyler Herro	PG	35	'+155	A	MIA	NY	25th	blk	0.5	0.3	0.27 - 0.24	0.19 - 0.32	21%	7%	20%	0,0,0,0,1,0,0,0,0,0	17%	'+450	-650
Jaden Ivey	PG	30	'+360	A	DET	OKC	22nd	blk	0.5	0.3	0.47 - 0.19	0.12 - 0.38	21%	20%	0%	0,0,0,0,0,2,0,0,0,0	0%	'+300	-400
Grayson Allen	SG	27	-625	A	MIL	IND	11th	blk	0.5	0.2	0.16 - 0.33	0.26 - 0.14	20%	27%	60%	0,1,0,1,1,0,1,0,0,0	27%	'+270	-350
Dillon Brooks	SF	30	'+100	H	MEM	LAC	16th	blk	0.5	0.2	0.2 - 0.21	0.15 - 0.26	19%	27%	20%	0,0,1,0,0,1,0,0,0,1	0%	'+240	-305
Simone Fontecchio	F	13	'+140	A	UTAH	SA	23rd	blk	0.5	0.2	0.23 - 0.14	0.14 - 0.22	18%	13%	20%	0,0,0,0,1,0,0,0,0,0	0%	'+300	-400
Mike Conley	PG	30	'+165	A	MIN	PHX	10th	blk	0.5	0.2	0.26 - 0.17	0.18 - 0.26	18%	20%	20%	0,0,0,1,0,0,0,0,1,0	25%	'+440	-625
Andrew Nembhard	PG	27	'+470	H	IND	MIL	7th	blk	0.5	0.2	0.23 - 0.15	0.24 - 0.12	17%	20%	20%	0,1,0,0,0,0,0,0,0,0	0%	'+470	-690
Ochai Agbaji	G	19	'+140	A	UTAH	SA	15th	blk	0.5	0.2	0.27 - 0.16	0.23 - 0.21	16%	33%	40%	0,3,0,0,1,0,0,0,1,0	0%	'+190	-235
Reggie Bullock	SF	30	'+150	A	DAL	PHI	22nd	blk	0.5	0.2	0.19 - 0.16	0.19 - 0.16	16%	0%	0%	0,0,0,0,0,0,0,0,0,0	17%	'+500	-750
Bennedict Mathurin	SG	27	'+470	H	IND	MIL	1st	blk	0.5	0.1	0.16 - 0.12	0.11 - 0.17	14%	33%	40%	1,0,0,1,0,0,0,0,1,0	0%	'+320	-425
Rj Barrett	SG	33	-180	H	NY	MIA	13th	blk	0.5	0.2	0.32 - 0.03	0.23 - 0.15	14%	13%	0%	0,0,0,0,0,3,0,0,0,0	22%	'+380	-520
Tre Jones	PG	29	-165	H	SA	UTAH	21st	blk	0.5	0.1	0.24 - 0.11	0.12 - 0.17	13%	7%	20%	0,0,0,1,0,0,0,0,0,0	8%	'+440	-625
Harrison Barnes	SF	32	-1050	A	SAC	POR	1st	blk	0.5	0.1	0.16 - 0.1	0.17 - 0.1	13%	13%	0%	0,0,0,0,0,0,0,0,0,0	15%	'+450	-650
Malaki Branham	G	23	-165	H	SA	UTAH	8th	blk	0.5	0.1	0.0 - 0.15	0.17 - 0.07	12%	13%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+370	-500
Tj Mcconnell	PG	20	'+470	H	IND	MIL	7th	blk	0.5	0.1	0.13 - 0.15	0.18 - 0.11	11%	20%	40%	0,0,2,1,0,2,0,0,0,0	29%	'+450	-650
Doug Mcdermott	SF	20	-165	H	SA	UTAH	20th	blk	0.5	0.1	0.17 - 0.07	0.1 - 0.1	10%	0%	0%	0,0,0,0,0,0,0,0,0,0	12%	'+675	-1100
